Address,City,ZipCode,Bedrooms,Bathrooms,SquareFeet,ListedPrice,RentEstimate,MonthlyCost,
5665 Oak Cliff Dr ,1,79912,3,2,2829,444000,2400,3979.158766,
432 DE Vargas Dr ,1,79905,3,1.5,1238,165000,1400,1539.714406,
13357 Emerald Pearl Dr ,1,79928,4,2.5,6180,380950,2200,3430.997595,
838 DE Leon Dr ,1,79912,4,2.5,2568,464000,2070,4105.827179,
14801 Allemands Ave ,1,79928,5,6,3326,258000,3100,2516.862526,
12368 Tierra Canada Dr ,1,79938,4,2.5,1896,225000,1935,2102.719645,
1815 Wendy Reed Dr ,1,79928,4,2,1565,220000,1795,2044.352542,
7405 Rio Rimac ,1,79934,4,2,1750,287950,1695,2597.249475,
13869 Paseo Celeste Dr ,1,79928,4,2,1615,281010,1450,2510.154335,
6270 Cosecha Luna Cir ,1,79932,3,2,1730,259950,1545,2346.473697,
3179 Diego Aidan Dr ,1,79938,4,2.5,2178,279500,2135,2579.80107,
13432 Coldham St ,1,79928,4,3,2235,426950,2185,3811.614944,
204 Serrania Dr ,1,79932,3,2,1810,264900,1995,2441.625129,
12444 Polo Norte ,1,79934,5,3.5,2860,364950,2800,3369.982864,
5877 Kobe Bryant St ,1,79924,3,2.5,1400,263950,1625,2389.327379,
628 Bluff Canyon Cir ,1,79912,4,2.5,2388,375000,2070,3365.932742,
717 Westlake Ct ,1,79912,4,4,2814,545000,3950,5004.814251,
10616 Gala St ,1,79924,5,2,2210,239000,2135,2243.107534,
1260 Franklin Perch Pl ,1,79912,5,3.5,3653,679900,3520,6074.694696,
5905 Emmitt Smith St ,1,79924,3,2,1642,286950,1670,2585.936054,
700 E Baltimore Dr ,1,79902,4,3,1800,559000,2000,4887.202141,
7833 Enchanted Dr ,1,79911,4,2.5,1738,374500,1695,3316.776032,
705 Winter Dr ,1,79902,3,2,2048,480000,1585,4180.64191,
2033 Gus Moran St ,1,79936,4,5,3387,395000,3000,3643.801155,
2904 Lebanon Ave ,1,79930,3,2,1433,235000,1500,2133.653852,
10801 Tom Kite Ct ,1,79935,5,2,2322,249000,2135,2326.241741,
10633 Hidden Link Pl ,1,79924,3,3,2566,324495,3200,3081.663432,
7821 Corozal Dr ,1,79915,3,2,1100,150000,1775,1460.013097,
313 Shady Ln ,1,79922,3,3,2930,407000,3000,3743.562202,
11800 Holstein Rd ,1,79936,4,4,2400,324950,2590,3012.246039,
737 Dakota River Ave ,1,79932,3,2.5,2364,299450,1845,2710.853812,
4108 Kemp Ave ,1,79904,3,2,1118,185000,1350,1699.982819,
11953 Mesquite Miel Dr ,1,79934,3,2,1590,228000,1635,2091.659907,
14745 Orsten Artis Ave ,1,79938,3,2.5,1832,248950,1850,2291.62607,
1936 Sun Spot St ,1,79938,3,2,2520,375000,1980,3355.132742,
121 George Orr Rd ,1,79915,4,3,1782,199900,2500,1961.852787,
12606 Zoolinger Ave ,1,79928,4,2.5,2023,335000,2300,3060.995916,
14529 Tierra Campeon Ave ,1,79938,4,2,2418,507000,2535,4519.104267,
11521 Valle Frondoso Rd ,1,79927,3,3,1760,210000,2299,2021.698335,
2429 Cesar Cordova Pl ,1,79938,4,2.5,2507,499900,2535,4460.07898,
1281 Desert Night St ,1,79912,4,3,2600,789000,2400,6847.288889,
11867 Sal Berroteran Dr ,1,79936,3,2,1348,219950,1350,1990.536871,
12600 Polo Norte ,1,79934,5,3,2250,314950,3200,3002.311832,
1650 Common Dr ,1,79936,3,3,2667,439000,2150,3907.591663,
14641 Ava Leigh Ave ,1,79938,3,2,1601,239990,1300,2151.137821,
12733 Tierra Aurora Dr ,1,79938,3,2.5,2130,430000,1725,3781.770877,
1716 Breeder Cup Way ,1,79928,4,2,1855,284900,1700,2572.493542,
828 Durham Way ,1,79928,4,4,2329,494800,2590,4424.280535,
1794 Pedro Pedro Pl ,1,79928,4,2.5,2100,348500,2100,3149.227095,
6224 Calle Lisa Way ,1,79912,5,4.5,4517,849999,3300,7462.399235,
3734 Star Beach Ln ,1,79936,3,2,1442,239950,1550,2180.805284,
8100 Sandland Dr ,1,79907,3,1.5,2200,224000,1650,2060.206224,
3105 Randall Joseph St ,1,79938,3,2.5,1959,308500,1995,2804.090269,
1341 Jesus Chavez Pl ,1,79928,4,3.5,2726,325000,2050,2947.86171,
729 Cresta Alta Dr ,1,79912,5,3,3583,639000,3520,5734.675792,
5312 Pikes Peak Dr ,1,79904,3,1.5,1140,180000,1350,1658.415716,
1577 Dale Douglas Dr ,1,79936,3,2,1437,150000,1750,1457.013097,
11461 Menlo Ave ,1,79936,3,4,3399,499000,3000,4508.396902,
2325 Tony Harper St ,1,79938,4,3,2147,358950,1900,3212.10234,
7784 Enchanted Park ,1,79911,4,4,2332,424950,3950,4006.788103,
7283 Bobcat Hollow Dr ,1,79911,4,3,2447,553900,2495,4904.203695,
5449 Doug Allan Ln ,1,79932,3,4,3085,715000,3100,6316.095761,
14340 Owl Point Ave ,1,79938,4,2.5,2773,400000,2045,3570.768258,
366 Morning Star Dr ,1,79912,6,6,4425,796900,3300,7020.964912,
5349 Ignacio Frias Dr ,1,79934,5,2,1803,249000,1995,2309.441741,
6425 Art Cir ,1,79905,2,1,700,90000,800,844.207858,
14220 Meadow Lake Ave ,1,79938,4,2.5,2402,406999,2050,3629.553889,
7377 Autumn Sage Dr ,1,79911,4,2.5,2280,360000,2800,3328.831432,
10701 Deion Sanders Dr ,1,79924,3,2,1642,290950,1670,2619.189737,
1032 Flyer Pl ,1,79928,4,3,2552,329000,2250,3005.115392,
907 E Robinson Ave ,1,79902,2,1,1295,250000,1700,2282.355161,
13225 Wellington ,1,79928,3,2.5,1715,290000,1285,2565.091987,
1157 Potterton Pl ,1,79928,4,2.5,1808,279000,1795,2534.84436,
12409 Tierra Laurel Dr ,1,79938,4,2.5,2712,289700,2045,2653.797961,
241 Smith Rd ,1,79907,4,3,2009,224000,2000,2102.206224,
7625 Enchanted Ridge Dr ,1,79911,5,3.5,2660,429950,2100,3826.355206,
2733 Maria Casas St ,1,79938,4,3,2312,329950,2600,3055.013142,
12497 Cayo Norte ,1,79934,4,2,1750,279950,1695,2530.74211,
2908 Morehead Ave ,1,79930,3,2,1342,199000,1800,1870.370708,
2517 Tony Harper St ,1,79938,3,3,1830,316950,1850,2856.938673,
12645 Don Norte ,1,79934,5,4,2704,339950,2145,3083.547348,
12408 Norte Chico ,1,79934,4,2.5,2501,324950,2600,3013.446039,
3176 Hidden Creek Dr ,1,79938,3,2.5,1798,299950,1700,2697.610522,
1052 Montera Rd ,1,79907,4,2,1820,288000,2450,2688.265146,
4625 Fairbanks Dr ,1,79924,2,2,1982,229000,1595,2095.173328,
4500 Honey Willow Way ,1,79922,4,8,7386,1750000,3300,14944.48613,
13678 Holbeck St ,1,79928,4,3,2136,329999,2600,3055.420499,
1429 Dominic Anakin Dr ,1,79928,3,3,2210,285000,2185,2631.524884,
9180 Coventry Cir ,1,79907,4,2,1851,195000,2450,1915.117026,
10753 Pleasant Sand Dr ,1,79924,3,2.5,2249,279500,2095,2575.00107,
14941 Tierra Crystal Ave ,1,79938,3,2,1463,233000,1685,2139.22701,
12401 Norte Chico ,1,79934,4,2,1750,287950,1695,2597.249475,
6313 Dakota Ridge Dr ,1,79912,3,2,2150,399000,2095,3568.454837,
4845 Mark Avizo St ,1,79938,4,2.5,2622,294700,2045,2695.365064,
7373 Norte Grande ,1,79934,5,4,2704,339950,2145,3083.547348,
1316 Black Ridge Dr ,1,79912,3,2.5,1997,305000,3500,2955.593297,
14828 Hunters Grove Ave ,1,79938,4,2.5,1887,259999,1850,2383.481054,
6420 Casper Ridge Dr ,1,79912,5,3,2611,435000,3730,4063.937981,
7150 Lavern Ave ,1,79915,3,2,2538,199950,1975,1899.268458,
1700 Mitchell Jones Dr ,1,79936,5,4,2307,298000,2590,2788.199352,
10737 Troy Aikman Dr ,1,79924,3,2,1575,282500,1800,2564.541332,
300 Lienege Rene Ct ,1,79932,4,3,2231,289000,2185,2664.778566,
1767 Avelina Ingle St ,1,79911,4,4,2828,639900,3950,5793.757871,
13095 Emerald Hills Ave ,1,79928,4,2,1504,264950,1600,2394.6408,
753 Cedarwood Ave ,1,79928,4,2,1650,284500,1590,2555.968173,
13409 Coldham St ,1,79928,4,2.5,1922,299950,1990,2732.410522,
917 Jimson Weed Dr ,1,79927,4,2,1409,235000,1650,2151.653852,
4110 N Stanton St ,1,79902,3,3,1649,349000,2199,3165.263805,
12701 Don Norte Ln ,1,79934,5,3.5,3404,404950,3100,3738.51969,
6766 Pony Express Rd ,1,79938,2,1,784,95000,1300,945.7749613,
2612 Julius Boros Ct ,1,79936,4,2,1802,260000,1995,2400.889368,
14544 Tierra Fortaleza Ave ,1,79938,4,3,2596,559750,2500,4953.437206,
11504 Summer Dr ,1,79927,4,2.5,2276,280450,1995,2570.89882,
12444 Sombra Grande Dr ,1,79938,4,2.5,1829,235000,1950,2187.653852,
3540 Blue Grove Ln Unit A ,1,79936,2,2,1482,194900,1495,1799.685684,
1827 Cimarron Dr ,1,79911,4,2,1954,450950,1850,3970.93704,
2355 Enchanted Gem Dr ,1,79911,5,3.5,2640,459950,3730,4271.357826,
14653 Alton Oaks Ave ,1,79938,3,2,1797,249000,2800,2406.041741,
12326 Thren Ave ,1,79928,3,2,1843,255000,1700,2323.922264,
6369 Franklin Gate Dr ,1,79912,3,3.5,1978,339999,2500,3126.554706,
13735 Paseo Verde Dr ,0,79928,3,2.5,2069,239900,1700,2198.389613,
5872 Ubeda Ct ,1,79932,3,2.5,2423,349900,1845,3130.265884,
13372 Emerald Glass Dr ,1,79928,4,2.5,2106,374950,2200,3381.117071,
3734 Frankfort Ave ,1,79930,3,2,1127,220000,1100,1960.952542,
7849 Enchanted Ridge Dr ,1,79911,4,2.5,3216,469000,2200,4162.994282,
336 Blue Valley Dr ,1,79928,4,3,2600,540000,2500,4789.247148,
9817 Album Ave ,1,79925,4,2,1963,245000,1500,2216.788058,
2100 Honour Point Pl ,1,79938,3,2,1525,249950,1565,2265.73949,
10625 Elsa Pl ,1,79924,4,1.5,1436,199000,1475,1831.370708,
2506 Frankfort Ave ,1,79930,3,3,1986,250000,1885,2304.555161,
3456 Balmorhea St ,1,79936,3,2,1242,180000,1275,1649.415716,
708 Avenida Del Santo ,1,79932,4,2.5,5393,2388050,2200,20116.86417,
5824 Hidden Village Ct ,1,79932,4,3.5,3463,875900,3100,7653.725143,
3645 Tierra Paris ,1,79938,4,3.5,3239,424000,2600,3836.890353,
5021 Vista Del Monte St ,1,79922,6,6,4956,1890000,3300,16108.36502,
13084 Tierra Creel Ln ,1,79938,3,2,1985,328000,1595,2918.201972,
7301 Luz De Lumbre Ave ,1,79912,5,2.5,2532,350000,2070,3158.097226,
6410 Cadence Riv ,1,79932,4,3.5,3570,1200000,3100,10348.10477,
2395 Enchanted Nook Ln ,1,79911,4,4,2307,479950,3950,4464.026239,
9544 Robert Holt Dr ,1,79924,3,2.5,2008,270000,1885,2470.823574,
12752 Tierra Alexis Dr ,1,79938,4,2.5,2802,428500,2045,3807.700746,
13289 New Britton Dr ,1,79928,3,2.5,2185,255000,1995,2359.322264,
936 Pecos River Dr ,1,79932,4,2.5,2416,399900,2600,3636.536916,
14933 Tierra Haven Ave ,1,79938,5,3,3161,449999,2250,4011.030977,
7308 Enchanted Point Dr ,1,79911,5,3.5,2660,461950,2100,4092.384667,
13935 Sky Harbor Ave ,1,79928,3,2,1700,279500,2300,2599.60107,
3641 Cave Palm Pl ,1,79936,3,2,1186,195000,1325,1780.117026,
3937 Desert Dunes Dr ,1,79938,4,2.5,2326,295000,2195,2715.85909,
7788 Enchanted Falcon Ln ,1,79911,4,2.5,2087,372650,1800,3313.996203,
14629 Tierra Resort Ave ,1,79938,4,3,2494,506800,2600,4525.241583,
3015 Taylor Ave ,1,79930,4,3,2528,267500,2250,2493.840023,
4932 Ajax Ct ,1,79924,3,1,1248,169999,1100,1545.273196,
4917 Sierra Madre Dr ,1,79904,2,1,806,135000,800,1218.311787,
657 Paseo Dulce Ave ,1,79928,4,3.5,1930,302950,1750,2728.550784,
14612 Tierra Fortaleza Ave ,1,79938,4,3,2417,502750,2600,4491.572229,
3619 E Yandell Dr ,1,79903,4,3,1494,160000,2199,1594.027303,
7504 Enchanted Park ,1,79911,3,3,1814,357950,1750,3185.78892,
7793 Enchanted Nest Ln ,1,79911,4,3,2145,380230,2695,3484.411932,
721 Villa Antigua Ct ,1,79932,3,2,1532,309000,1595,2760.246979,
8604 Echo St ,1,79904,3,2,2769,284900,2400,2656.493542,
3388 David Palacio Dr ,1,79938,3,2,1446,240000,1685,2197.420955,
1908 Desert Sun Dr ,1,79938,3,2,1863,299900,1850,2715.194851,
2075 Sun Spring Way ,1,79938,4,3,2427,309950,2600,2888.744729,
12633 Arrow Weed Dr ,1,79928,4,3,2661,355000,2145,3208.664329,
12871 Hidden Grove Dr ,1,79938,4,2,1552,229900,1775,2124.255406,
14168 Tierra Delfin Dr ,1,79938,3,2.5,1514,242000,1600,2203.847796,
1091 Sky River St ,1,79928,4,2.5,1664,274500,1590,2472.833967,
12860 Cozy Cove Ave ,1,79938,4,3,2158,321000,1900,2896.608027,
12138 Saint Romeo Ave ,1,79936,4,2.5,1913,289999,1795,2626.283674,
6431 Cheyenne Trl ,1,79925,4,2,1753,150000,1835,1467.213097,
3868 Loma Cortez Dr ,1,79938,4,2,1764,238999,1800,2202.899221,
2129 Noviembre Dr ,1,79935,7,5,4390,330000,3300,3139.428813,
1365 Desert Night St ,1,79912,4,3.5,3000,998000,1900,8524.793804,
2367 Enchanted Peak ,1,79911,4,3,2156,406950,2695,3706.546531,
954 Lulworth Pl ,1,79928,4,2.5,2397,358000,2150,3234.204591,
14221 Wagon Dr ,1,79938,5,4,5224,745000,3000,6553.49838,
913 Elon Ln ,1,79912,3,2.5,1883,299900,2135,2749.394851,
6043 Sinclair St ,1,79924,3,2,1018,174999,1175,1595.840299,
10725 Troy Aikman Dr ,1,79924,4,2,1475,277500,1295,2462.374229,
5860 Dalhart Dr ,1,79924,4,2,1674,297500,1590,2664.042642,
12243 Delacroix Dr ,1,79936,3,2.5,1730,275000,1675,2487.190677,
428 Majestic Mountain Dr ,1,79912,4,5,3405,1192000,3520,10331.99741,
2432 Mike Price Dr ,1,79938,4,2.5,1947,319950,1700,2863.878935,
5864 Dalhart Dr ,1,79924,3,2,1588,287500,1635,2586.308435,
1533 Bessemer Dr ,1,79936,3,2,1392,219950,1495,2007.936871,
901 Elon Ln ,1,79912,3,2.5,1647,262000,1900,2406.116209,
12253 Gaudi Way ,1,79938,3,2.5,1550,259950,1650,2359.073697,
5466 Desert Willow Dr ,1,79938,6,4,4720,699000,3000,6171.081031,
14621 John McNeely Ave ,1,79938,5,3.5,2974,433305,2250,3872.246733,
2809 Mike Price Dr ,1,79938,3,2,2172,317950,2235,2911.452094,
51114 Sand Verbena Ave ,1,79934,4,3,1866,331950,1895,2987.039983,
4446 Shadow Willow Dr ,1,79922,5,5,3276,650000,3100,5775.723419,
6378 Franklin Summit Dr ,1,79912,4,3.5,2655,379500,2450,3448.943135,
10428 Springwood Dr ,1,79925,3,2,2240,230000,2200,2176.086748,
5530 Fairbanks Dr ,1,79924,3,2,1303,185000,1450,1711.982819,
6232 Spotted Eagle Dr ,1,79924,4,2,1721,239000,1835,2207.107534,
12407 Mine That Bird Dr ,1,79928,4,2.5,2308,345000,1995,3107.530123,
15402 Gus Hickerson Dr ,1,79938,2,1.5,1767,375000,1800,3333.532742,
12406 Furlong Cir ,0,79928,4,3,2352,364560,2195,3294.14063,
619 Rosewood St ,1,79903,2,1.5,995,180000,1095,1627.815716,
209 Polo Inn Rd ,1,79915,3,2,1337,225000,1670,2070.919645,
12473 Paseo Lago Dr ,1,79928,4,2.5,2027,274950,2300,2561.775006,
6020 Valle Espanola Ln ,1,79932,3,2.5,2231,325000,2100,2953.86171,
12601 Zulema St ,1,79928,3,2,1983,265000,1595,2394.456471,
12840 Monmouth Ave ,1,79928,4,2.5,1873,261950,1990,2416.500538,
14625 Tierra Port Ct ,1,79938,4,3,2008,375950,2000,3365.430491,
5845 Valley Palm Dr ,1,79932,4,4,3101,749883,3100,6606.092813,
1128 Del Norte St ,1,79915,4,1.5,1312,188000,1450,1736.923081,
14764 Jack White Ave ,1,79938,4,2,1568,289950,1750,2620.476316,
10705 Troy Aikman Dr ,1,79924,4,2,1674,297500,1590,2664.042642,
749 Cedarwood Ave ,1,79928,3,2,1600,277500,2100,2558.974229,
7429 Gulf Creek Dr ,1,79911,4,2.5,2060,365000,2295,3309.798535,
13772 Winford Ave ,1,79928,4,2,1562,285950,1795,2592.622633,
220 Cherry St ,1,79915,3,3,1813,75000,1750,833.5065484,
7256 Copper Ave ,1,79934,4,2,2026,249500,1925,2305.198451,
14220 Silver Point Ave ,1,79938,3,2,1349,214950,1350,1948.969768,
3069 Tierra Valle Dr ,1,79938,4,2.5,2569,359000,2045,3229.918012,
278 Newquay St ,1,79928,4,2.5,2040,318000,2300,2919.667765,
814 Galloway Dr ,1,79902,5,2,2015,465000,2200,4129.7406,
7113 Westover Dr ,1,79912,3,2,1565,255000,1800,2335.922264,
13832 Vicki Brewer Ave ,1,79928,4,2.5,1664,274500,1590,2472.833967,
3636 Wax Palm Pl ,1,79936,3,2,1180,148900,1325,1396.868334,
1761 Onizuka Dr ,1,79936,3,2.5,1657,254950,1650,2317.506593,
14849 Bert Cameron Ave ,1,79938,3,2.5,1739,275000,1800,2502.190677,
5041 Andes Dr ,1,79904,3,1.5,1110,129000,1795,1287.831263,
7870 Broadway Dr ,1,79915,3,2,1723,225000,2135,2126.719645,
13449 Highworth ,1,79928,4,3,1940,368950,1750,3277.236547,
2425 Cesar Cordova Pl ,1,79938,4,3,3100,620000,2250,5424.3208,
709 Kapriz Ave ,1,79932,3,2,2148,379000,2095,3402.186424,
2301 Tierra Zaria Pl ,1,79938,4,2.5,2545,432650,2535,3901.001442,
840 W Gate Dr ,1,79932,4,4.5,4000,1363000,3300,11727.19234,
4151 Darwood Dr ,1,79902,5,4,2900,549000,3000,4924.067934,
7864 Enchanted Dr ,1,79911,4,3.5,2574,380000,3200,3543.099845,
5868 Dalhart Dr ,1,79924,4,2,1607,287500,1735,2598.308435,
1504 Weightman Cir ,1,79903,2,1,1154,156000,1350,1458.893621,
3197 Lonesome Dove Cir ,1,79936,4,2,1880,235000,1550,2139.653852,
3121 Tierra Paola Ln ,1,79938,4,5,3501,339999,3000,3186.554706,
7313 Enchanted Point Dr ,1,79911,4,2.5,2755,524950,2235,4632.330168,
13836 Paseo Sereno Dr ,1,79928,4,2.5,1788,280950,1795,2551.05553,
835 Dulce Tierra Dr ,1,79912,4,4,3465,498500,3520,4566.640192,
14921 Hinojos Ave ,1,79938,4,3,2078,365000,2000,3274.398535,
12525 Cayo Norte ,1,79934,4,3,1935,289950,1750,2620.476316,
2359 Enchanted Gem ,1,79911,5,3.5,3404,489950,3520,4495.560445,
7321 Enchanted Point Dr ,1,79911,4,3,2552,504950,3200,4581.861755,
721 Linda Johnson Ave ,1,79932,3,2.5,1637,239000,1650,2184.907534,
7910 Santa Maria Ct ,1,79915,3,2,1640,180000,1500,1676.415716,
12108 Fred Carter Dr ,1,79936,4,3,1290,200000,1325,1821.684129,
14921 Tierra Mirage Ave ,1,79938,3,2,1375,165500,1650,1573.871117,
2316 Enchanted Hawk Pl ,1,79911,3,2.5,1941,346675,2135,3138.255102,
14836 Jack White Ave ,1,79938,4,2,1854,309000,1875,2793.846979,
1446 Sierra De Oro Dr ,1,79936,3,2,2128,287000,2035,2630.151725,
3721 Tierra Aurora Dr ,1,79938,3,2.5,2082,245000,1800,2252.788058,
1912 Crystal Ridge St ,1,79938,3,2,2009,283000,2000,2592.698043,
11445 Lake Ozarks Dr ,1,79936,3,2.5,1371,208950,1495,1916.489244,
14924 William Meshel Dr ,1,79938,3,3,1617,290000,1755,2621.491987,
7420 Norte Brasil Dr ,1,79934,4,3,1730,274950,1835,2505.975006,
14712 Tierra Coruna Ave ,1,79938,3,2.5,2914,355000,2535,3255.464329,
13628 Ness Ave ,1,79928,4,2.5,2240,330000,1995,2982.828813,
6082 Via De Los Arboles ,1,79932,6,3,4245,608900,3300,5458.041831,
13463 Bradford St ,1,79928,3,2.5,1765,267499,2200,2487.831709,
3162 Fox Grove St ,1,79938,4,2.5,1924,319500,1935,2888.337896,
14536 Randall Cunningham Ave ,1,79938,3,2,1514,249900,1900,2305.523819,
12223 Chisholm Pass Dr ,1,79936,3,3,4231,699900,3000,6178.563109,
984 Stamfordham Dr ,1,79928,4,2,1993,299950,2250,2763.610522,
13404 Emerald Rose Ct ,1,79928,4,3,2207,349000,2185,3163.583805,
14808 Jack White Ave ,1,79938,3,2,1523,281500,1565,2528.027912,
2412 Tierra Delmonte Dr ,1,79938,4,2,1660,285950,1595,2568.622633,
885 Chillington Rd ,1,79928,4,3,2368,470950,2295,4190.605453,
2316 Federal Ave ,1,79930,2,1,828,144950,1300,1361.030322,
13640 Matfen Ave ,1,79928,4,2,1627,257950,1590,2335.246855,
14244 Smokey Point Dr ,1,79938,3,2,1797,267000,2800,2555.683312,
695 Lomaland Dr ,1,79907,3,3,1631,159950,1600,1521.731632,
51110 Sand Verbena Ave ,1,79934,4,3,1825,327950,1750,2936.386301,
2371 Enchanted Knoll Dr ,1,79911,5,3.5,2660,461950,2100,4092.384667,
3013 Woodhead Pl ,1,79938,3,2.5,2134,267500,2095,2475.240023,
2520 Sammy Cervantes St ,1,79938,4,3,2290,392755,2600,3577.137525,
7545 Enchanted Ave ,1,79911,5,3.5,2348,399950,2400,3612.952587,
3921 Olympic Ave ,1,79904,3,1,1640,154950,895,1395.564529,
4729 Guadalupe Dr ,1,79904,3,2,1568,157000,1350,1467.207041,
11565 Spencer Dr ,1,79936,3,2,1795,199900,1995,1901.252787,
10841 Tourmaline St ,1,79924,3,2,1208,210000,1435,1918.018335,
12212 Holy Springs Ct ,1,79928,4,2.5,2459,275000,2600,2598.190677,
12259 Gaudi Way ,1,79938,3,2.5,1450,258950,2150,2410.760276,
2313 Tony Harper St ,1,79938,4,2,1533,285950,1775,2590.222633,
12549 Wolf Berry Dr ,1,79928,3,2,1521,222500,1295,2005.136093,
13840 Vicki Brewer Ave ,1,79928,4,2.5,1664,274500,1590,2472.833967,
14221 Russ Leach Ave ,1,79938,3,2,1310,220000,1595,2020.352542,
13555 Bradford St ,1,79928,4,1.5,1435,235999,1500,2141.958959,
6308 Camino Nuez Dr ,1,79932,3,4,3452,849500,3100,7434.250838,
7425 Norte Mesa Ln ,1,79934,4,2,1338,222950,1450,2027.477133,
12180 Amstater Cir ,1,79936,3,2.5,1585,225000,1635,2066.719645,
13200 Willitoft Rd ,1,79928,3,2,1448,259950,2050,2407.073697,
2200 N Kansas St Unit A ,1,79902,3,2.5,2268,319900,2800,2995.463264,
4664 Robert Acosta Dr ,1,79934,3,2,1684,260000,1575,2350.489368,
7541 Enchanted Dr ,1,79911,3,3,1814,357950,1750,3185.78892,
12501 Cayo Norte ,1,79934,4,2.5,1850,284950,1670,2569.309213,
3337 Tierra Jazmin Ln ,1,79938,3,2.5,2142,258900,2095,2403.744605,
13848 Paseo Sereno Dr ,1,79928,4,2.5,1873,283950,1990,2599.395792,
12681 Don Norte ,1,79934,4,3,1935,289950,1750,2620.476316,
209 Emerald Gold Pl ,1,79928,4,2.5,2018,361950,2200,3273.042602,
8832 Dulce Cir ,1,79907,4,2.5,1530,189999,1350,1741.541609,
12122 Tower Hill Dr ,1,79936,3,2,1600,220000,2000,2068.952542,
14258 Valour Point Ave ,1,79938,3,2,1352,213000,1350,1932.758597,
350 Thunderbird Dr Unit B ,1,79912,2,2,1390,190000,1499,1759.429923,
14335 Alma Point Dr ,1,79938,4,2.5,2368,285000,2200,2633.324884,
163 Whittier Dr ,1,79907,3,3,1306,176700,1650,1666.981428,
1236 Romy Ledesma Dr ,1,79936,4,2.5,2428,320000,2600,2972.294606,
11657 Ochre Bluff Ln ,1,79934,3,2,933,178000,1195,1623.188875,
9406 Montgomery Dr ,1,79924,3,2,1661,215000,1670,1987.785439,
4084 Desert Nomad Dr ,1,79938,6,3.5,2876,540000,2800,4825.247148,
322 Dursley St ,1,79928,3,3,1636,300000,1650,2692.026193,
5852 Dalhart Dr ,1,79924,4,2,1630,292500,1590,2622.475539,
871 Country Club Rd Unit 5C ,1,79932,4,4.5,2786,508888,2050,4476.600005,
6137 Sorrel Dr ,1,79932,4,3,2875,474950,2800,4284.459135,
309 Rio De Jazmin Cir ,1,79932,4,4,2586,575000,2500,5080.216871,
11420 Doris Rd ,1,79927,3,3,1759,263999,2299,2470.614737,
12737 Raul Mendiola Ln ,1,79938,3,2,1295,207000,1495,1900.278074,
14904 John McNeely Ave ,1,79938,4,3,3090,455000,2250,4052.606393,
11033 Wind Ct ,1,79936,4,2.5,1524,179000,1600,1680.102295,
2221 Gold Ave ,1,79930,4,2,1759,179900,1400,1663.584374,
863 Southwick Dr ,1,79928,4,2.5,2623,404900,1630,3561.704019,
1076 Speranza Ct ,1,79932,4,2,1936,460000,2100,4076.173497,
12626 Zollinger Ave ,1,79938,3,2.5,1942,319950,1700,2863.878935,
233 Emerald Clay Pl ,1,79928,4,3,2236,389424,2185,3499.645521,
1521 Prairie Dr ,1,79925,4,2,1846,259000,1700,2357.175947,
4220 Larchmont Dr ,1,79902,4,3,2277,455000,1875,4007.606393,
14572 Spanish Point Dr ,1,79938,4,2.5,1808,230000,1600,2104.086748,
10719 Alameda Ave ,1,79927,3,2,1993,399900,1795,3539.936916,
14325 Tobe Davis ,0,79928,3,2,1077,247950,1500,2241.312649,
12744 Monmouth Ave ,1,79928,4,2,1562,285000,1795,2584.724884,
7425 Enchanted Point Dr ,1,79911,4,3,1825,358950,1750,3194.10234,
7349 Enchanted Blf ,1,79911,4,3,2589,599950,3200,5371.636716,
2320 Mermaid Dr ,1,79936,4,2,1822,282770,1750,2560.785956,
525 Cotton Blossom Ave ,1,79922,4,5,3981,1299950,3300,11203.03117,
7400 Rio Rimac ,1,79934,5,3,2250,324950,3200,3085.446039,
10717 Deion Sanders Dr ,1,79924,4,2.5,1954,345950,1990,3114.827872,
5400 Viceroy Dr ,1,79924,3,2,1422,171950,1550,1615.49268,
12088 Autumn Gate Dr ,1,79936,3,2,1617,204500,1695,1903.494522,
3003 Gateway Blvd W ,1,79903,2,1,1092,168000,1175,1537.654668,
14053 Tierra Halcon Dr ,1,79938,3,2.5,1621,225000,1755,2081.119645,
12217 Kingsgate Ct ,1,79928,4,2,1930,175000,1700,1658.848613,
7214 Longspur Dr ,1,79911,3,3,1832,350000,1750,3119.697226,
2821 Mike Price Dr ,1,79938,4,3,2188,318000,2500,2943.667765,
7553 Enchanted Pt ,1,79911,4,3,2070,394500,3000,3639.644444,
14917 Pebble Hills Blvd ,1,79938,4,2.5,2717,326950,2045,2963.47288,
2363 Enchanted Peaks Ln ,1,79911,5,3.5,2660,441950,2100,3926.116254,
4020 Hacienda Roja Dr ,1,79922,4,3.5,3000,589950,3100,5276.502509,
11490 Ghost Dance Cir ,1,79936,2,1,1150,180000,2500,1796.415716,
321 Via Cumbre Linda Cir ,1,79928,3,2,1648,236500,1730,2173.723983,
6696 Tiger Eye Dr ,1,79924,3,1,1788,189999,1995,1818.941609,
10338 Thor St ,1,79924,3,2,1190,175000,1435,1627.048613,
14939 Pebble Hills Blvd ,1,79938,3,2,1302,227425,1450,2064.67969,
400 Desert Chicory St ,0,79928,4,3,3422,359900,1900,3220.00009,
14261 Russ Leach Ave ,1,79938,4,2.5,2117,288500,2150,2656.421856,
665 Paseo Musical St ,1,79928,4,2.5,1788,280950,1795,2551.05553,
